GrapNet	arxiv	arxiv:2606.18923; paper-only, no implementation located in sweep	dynamic executable architecture graph: GrapNode vector parent interfaces	float32	programmable dynamic neural graph substrate	programmable-neural-graph/continual-learning	2026	arXiv:2606.18923; date=2026-06-17; distinct primitive: network topology is an editable executable child-owned graph with trainable allocation vectors and topology edits reflected in parameter coordinates; grep-verified absent via GrapNet/GrapNode/dynamic-architecture neural graph/graph-as-network.
paddleclas_Xception	PaddleClas-configs	from ppcls.utils.config import get_config; from ppcls.arch import build_model; cfg=get_config('ppcls/configs/ImageNet/Xception/<model_config>.yaml', overrides=[]); cfg['Arch'].pop('pretrained', None); model=build_model(cfg['Arch'])	(1, 3, 224, 224)	float32	Xception	vision/image-classification	2021	web-roster from PaddlePaddle/PaddleClas ppcls/configs/ImageNet; Paddle recipe sketch, no weights
mmdet_cascade_rpn	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='CascadeRPN'; configs/cascade_rpn/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	cascade-rpn	vision/detection	2019	RPN with adaptive cascade stages; config configs/cascade_rpn
mmdet_libra_rcnn	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='FasterRCNN+BFP'; configs/libra_rcnn/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	libra-rcnn	vision/detection	2019	Balanced FPN (BFP) + balanced L1; type=FasterRCNN with neck=BFP
mmdet_grid_rcnn	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='GridRCNN'; configs/grid_rcnn/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	grid-rcnn	vision/detection	2018	Grid-guided localization head GridHead
mmdet_double_heads	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='FasterRCNN+DoubleConvFCBBoxHead'; configs/double_heads/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	double-head-rcnn	vision/detection	2019	Decoupled cls/reg double head
mmdet_dynamic_rcnn	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='FasterRCNN+DynamicRoIHead'; configs/dynamic_rcnn/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	dynamic-rcnn	vision/detection	2020	Dynamic label assignment + SmoothL1 beta adaptation
mmdet_groie	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='FasterRCNN+GenericRoIExtractor'; configs/groie/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	groie	vision/detection	2020	Generic RoI extractor (GRoIE) feature aggregation
mmdet_pisa	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='FasterRCNN+PISA'; configs/pisa/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	pisa	vision/detection	2019	Prime sample attention reweighting in roi_head
mmdet_ms_rcnn	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='MaskScoringRCNN'; configs/ms_rcnn/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	mask-scoring-rcnn	vision/detection	2019	MaskIoU head predicts mask quality (MS R-CNN)
mmdet_htc	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='HybridTaskCascade'; configs/htc/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	hybrid-task-cascade	vision/detection	2019	Interleaved cascade mask+semantic branch (HTC)
mmdet_scnet	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='SCNet'; configs/scnet/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	scnet	vision/detection	2020	Sample consistency network; type=SCNet
mmdet_detectors_htc	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='DetectoRS+HTC'; configs/detectors_htc/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	detectors	vision/detection	2020	RFP recursive feature pyramid + SAC switchable atrous conv
mmdet_point_rend	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='PointRend'; configs/point_rend/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	point-rend	vision/detection	2019	Point-based mask refinement head (instance seg)
mmdet_carafe	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='FasterRCNN+CARAFE'; configs/carafe/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	carafe	vision/detection	2019	Content-aware reassembly upsampling neck
mmdet_groie_fpg	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='FPG'; configs/groie_fpg/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	fpg	vision/detection	2020	Feature pyramid grids neck; type detector with neck=FPG
mmdet_pafpn	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='RetinaNet+PAFPN'; configs/pafpn/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	pafpn	vision/detection	2018	Path aggregation FPN neck
mmdet_nas_fpn	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='RetinaNet+NASFPN'; configs/nas_fpn/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	nas-fpn	vision/detection	2019	Neural-architecture-search FPN neck
mmdet_panoptic_fpn	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='PanopticFPN'; configs/panoptic_fpn/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	panoptic-fpn	vision/detection	2019	Panoptic segmentation FPN (things+stuff)
mmdet_queryinst	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='QueryInst'; configs/queryinst/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	queryinst	vision/detection	2021	Query-based instance seg (parallel dynamic mask heads)
mmdet_solo	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='SOLO'; configs/solo/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	solo	vision/detection	2019	Segment objects by locations (grid mask branch)
mmdet_solov2	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='SOLOv2'; configs/solov2/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	solov2	vision/detection	2020	Dynamic mask kernel SOLOv2 (mmdet impl)
mmdet_condinst	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='CondInst'; configs/condinst/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	condinst	vision/detection	2020	Conditional convolutions for instance seg
mmdet_boxinst	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='BoxInst'; configs/boxinst/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	boxinst	vision/detection	2020	Box-supervised instance seg (pairwise+projection loss)
mmdet_mask2former	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='Mask2Former'; configs/mask2former/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	mask2former	vision/detection	2021	Masked-attention universal seg (mmdet panoptic/instance config)
mmdet_maskformer	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='MaskFormer'; configs/maskformer/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	maskformer	vision/detection	2021	Per-pixel->mask classification universal seg (mmdet)
mmdet_atss	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='ATSS'; configs/atss/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	atss	vision/detection	2019	Adaptive training sample selection one-stage head
mmdet_autoassign	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='AutoAssign'; configs/autoassign/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	autoassign	vision/detection	2020	Differentiable label assignment one-stage
mmdet_fsaf	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='FSAF'; configs/fsaf/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	fsaf	vision/detection	2019	Feature-selective anchor-free module
mmdet_foveabox	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='FoveaBox'; configs/foveabox/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	foveabox	vision/detection	2019	Anchor-free FoveaHead
mmdet_reppoints	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='RepPoints'; configs/reppoints/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	reppoints	vision/detection	2019	Deformable representative points head
mmdet_freeanchor	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='RetinaNet+FreeAnchor'; configs/freeanchor/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	free-anchor	vision/detection	2019	Free anchor matching detection loss
mmdet_gfl	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='GFL'; configs/gfl/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	gfl	vision/detection	2020	Generalized focal loss (QFL+DFL) head
mmdet_ghm	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='RetinaNet+GHM'; configs/ghm/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	ghm	vision/detection	2019	Gradient harmonizing mechanism loss
mmdet_paa	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='PAA'; configs/paa/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	paa	vision/detection	2020	Probabilistic anchor assignment head
mmdet_sabl	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='SABL-RetinaNet'; configs/sabl/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	sabl	vision/detection	2019	Side-aware boundary localization head
mmdet_vfnet	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='VFNet'; configs/vfnet/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	vfnet	vision/detection	2020	VarifocalNet IoU-aware classification head
mmdet_tood	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='TOOD'; configs/tood/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	tood	vision/detection	2021	Task-aligned one-stage detector head
mmdet_ddod	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='DDOD'; configs/ddod/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	ddod	vision/detection	2021	Disentangled dense object detector
mmdet_lad	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='LAD'; configs/lad/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	lad	vision/detection	2021	Label assignment distillation
mmdet_ld	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='GFL+LD'; configs/ld/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	ld	vision/detection	2021	Localization distillation head
mmdet_yolof	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='YOLOF'; configs/yolof/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	yolof	vision/detection	2021	You-Only-Look-One-level-Feature (DilatedEncoder)
mmdet_cornernet	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='CornerNet'; configs/cornernet/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	cornernet	vision/detection	2018	Paired corner keypoint detector (CornerHead)
mmdet_centripetalnet	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='CentripetalNet'; configs/centripetalnet/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	centripetalnet	vision/detection	2020	Centripetal shift corner detector
mmdet_dyhead	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='ATSS+DyHead'; configs/dyhead/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	dyhead	vision/detection	2021	Dynamic head unifying scale/spatial/task attention
mmdet_centernet	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='CenterNet'; configs/centernet/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	centernet-mmdet	vision/detection	2019	Objects-as-points center heatmap head (mmdet impl)
mmdet_centernet_update	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='CenterNetUpdate'; configs/centernet_update/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	centernet-update	vision/detection	2021	Probabilistic CenterNet (CenterNet2 RPN) head
mmdet_nas_fcos	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='NASFCOS'; configs/nas_fcos/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	nas-fcos	vision/detection	2019	NAS-searched FCOS head/neck
mmdet_ddq	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='DDQ-DETR'; configs/ddq/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	ddq-detr	vision/detection	2023	Dense distinct query DETR
mmdet_dab_detr	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='DABDETR'; configs/dab_detr/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	dab-detr-mmdet	vision/detection	2022	Dynamic anchor box DETR (mmdet impl)
mmdet_conditional_detr	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='ConditionalDETR'; configs/conditional_detr/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	conditional-detr-mmdet	vision/detection	2021	Conditional cross-attention DETR (mmdet impl)
mmdet_dino	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='DINO'; configs/dino/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	dino-detr-mmdet	vision/detection	2022	DINO DETR (contrastive denoising) mmdet impl
mmdet_glip	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='GLIP'; configs/glip/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	glip	vision/detection	2021	Grounded language-image pretraining detector (text+image)
mmdet_grounding_dino	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='GroundingDINO'; configs/grounding_dino/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	grounding-dino-mmdet	vision/detection	2023	Open-set grounded DETR (mmdet impl)
mmdet_crowddet	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='CrowdDet'; configs/crowddet/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	crowddet	vision/detection	2020	EMD loss multi-instance head for crowd
mmdet_soft_teacher	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='SoftTeacher'; configs/soft_teacher/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	soft-teacher	vision/detection	2021	Semi-supervised end-to-end teacher detector
mmdet_bytetrack	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='ByteTrack'; configs/bytetrack/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	bytetrack-mmdet	vision/detection	2021	ByteTrack MOT wrapper over YOLOX (mmdet tracking)
mmdet_ocsort	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='OCSORT'; configs/ocsort/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	ocsort-mmdet	vision/detection	2022	Observation-centric SORT tracker (mmdet)
mmdet_qdtrack	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='QDTrack'; configs/qdtrack/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	qdtrack	vision/detection	2021	Quasi-dense similarity tracking
mmdet_deepsort	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='DeepSORT'; configs/deepsort/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	deepsort-mmdet	vision/detection	2017	Detection+ReID appearance SORT (mmdet)
mmdet_strongsort	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='StrongSORT'; configs/strongsort/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	strongsort-mmdet	vision/detection	2022	StrongSORT MOT (mmdet tracking)
mmdet_masktrack_rcnn	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='MaskTrackRCNN'; configs/masktrack_rcnn/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	masktrack-rcnn	vision/detection	2019	Video instance seg tracking head
mmdet_mask2former_vis	mmdetection (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmdet.registry.MODELS.build(cfg)  # type='Mask2FormerVideo'; configs/mask2former_vis/; random init (init_cfg=None, no load_from)	(1, 3, 800, 1216)	float32	mask2former-vis	vision/detection	2021	Mask2Former video instance seg
mmseg_psanet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='PSAHead'; configs/psanet/; random init	(1, 3, 512, 512)	float32	psanet	vision/segmentation	2018	Point-wise spatial attention seg head
mmseg_encnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='EncHead'; configs/encnet/; random init	(1, 3, 512, 512)	float32	encnet	vision/segmentation	2018	Context encoding module + SE-loss
mmseg_ccnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='CCHead'; configs/ccnet/; random init	(1, 3, 512, 512)	float32	ccnet	vision/segmentation	2018	Criss-cross attention (recurrent) head
mmseg_danet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='DAHead'; configs/danet/; random init	(1, 3, 512, 512)	float32	danet	vision/segmentation	2018	Dual attention (position+channel) head
mmseg_apcnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='APCHead'; configs/apcnet/; random init	(1, 3, 512, 512)	float32	apcnet	vision/segmentation	2019	Adaptive pyramid context head
mmseg_dmnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='DMHead'; configs/dmnet/; random init	(1, 3, 512, 512)	float32	dmnet	vision/segmentation	2019	Dynamic multi-scale filters head
mmseg_ann	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='ANNHead'; configs/ann/; random init	(1, 3, 512, 512)	float32	ann-seg	vision/segmentation	2019	Asymmetric non-local neural network head
mmseg_ocrnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='OCRHead'; configs/ocrnet/; random init	(1, 3, 512, 512)	float32	ocrnet	vision/segmentation	2019	Object-contextual representations head
mmseg_gcnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='GCHead'; configs/gcnet/; random init	(1, 3, 512, 512)	float32	gcnet-seg	vision/segmentation	2019	Global context block head
mmseg_fastscnn	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='FastSCNN'; configs/fastscnn/; random init	(1, 3, 512, 512)	float32	fast-scnn	vision/segmentation	2019	Fast segmentation CNN (learning-to-downsample)
mmseg_emanet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='EMAHead'; configs/emanet/; random init	(1, 3, 512, 512)	float32	emanet	vision/segmentation	2019	Expectation-maximization attention head
mmseg_dnlnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='DNLHead'; configs/dnlnet/; random init	(1, 3, 512, 512)	float32	dnlnet	vision/segmentation	2020	Disentangled non-local head
mmseg_cgnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='CGNet'; configs/cgnet/; random init	(1, 3, 512, 512)	float32	cgnet	vision/segmentation	2018	Context guided network (lightweight)
mmseg_nonlocal_net	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='NLHead'; configs/nonlocal_net/; random init	(1, 3, 512, 512)	float32	nonlocal-seg	vision/segmentation	2017	Non-local block seg head
mmseg_isanet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='ISAHead'; configs/isanet/; random init	(1, 3, 512, 512)	float32	isanet	vision/segmentation	2019	Interlaced sparse self-attention head
mmseg_fastfcn	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='JPU+head'; configs/fastfcn/; random init	(1, 3, 512, 512)	float32	fastfcn	vision/segmentation	2019	Joint pyramid upsampling FastFCN neck
mmseg_sem_fpn	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='FPNHead'; configs/sem_fpn/; random init	(1, 3, 512, 512)	float32	semantic-fpn	vision/segmentation	2019	Panoptic/semantic FPN head
mmseg_setr_pup	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='SETRUPHead'; configs/setr_pup/; random init	(1, 3, 512, 512)	float32	setr-pup	vision/segmentation	2020	SETR progressive upsampling head
mmseg_setr_mla	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='SETRMLAHead'; configs/setr_mla/; random init	(1, 3, 512, 512)	float32	setr-mla	vision/segmentation	2020	SETR multi-level aggregation head
mmseg_dpt	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='DPTHead'; configs/dpt/; random init	(1, 3, 512, 512)	float32	dpt-seg	vision/segmentation	2021	Dense prediction transformer head (mmseg)
mmseg_segmenter	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='SegmenterMaskTransformerHead'; configs/segmenter/; random init	(1, 3, 512, 512)	float32	segmenter	vision/segmentation	2021	Mask transformer seg head over ViT
mmseg_knet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='KernelUpdateHead'; configs/knet/; random init	(1, 3, 512, 512)	float32	knet	vision/segmentation	2021	K-Net dynamic kernel update head
mmseg_stdc	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='STDCHead'; configs/stdc/; random init	(1, 3, 512, 512)	float32	stdc-seg	vision/segmentation	2021	Short-term dense concat seg
mmseg_bisenetv1	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='BiSeNetV1'; configs/bisenetv1/; random init	(1, 3, 512, 512)	float32	bisenetv1	vision/segmentation	2018	Bilateral seg network v1
mmseg_bisenetv2	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='BiSeNetV2'; configs/bisenetv2/; random init	(1, 3, 512, 512)	float32	bisenetv2	vision/segmentation	2020	Bilateral seg network v2
mmseg_icnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='ICNeck+head'; configs/icnet/; random init	(1, 3, 512, 512)	float32	icnet	vision/segmentation	2017	Image cascade network (real-time seg)
mmseg_pidnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='PIDNet'; configs/pidnet/; random init	(1, 3, 512, 512)	float32	pidnet	vision/segmentation	2022	Proportional-integral-derivative seg net
mmseg_ddrnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='DDRNet'; configs/ddrnet/; random init	(1, 3, 512, 512)	float32	ddrnet	vision/segmentation	2021	Deep dual-resolution real-time seg net
